(-80.4340661, 37.2378423)	(-80.4342228802729, 37.23797165862822)
(-80.4342228802729, 37.23797165862822)	(-80.4345132, 37.2382112)
(-80.4345132, 37.2382112)	(-80.43463254672922, 37.23834613795592)
(-80.43463254672922, 37.23834613795592)	(-80.43502180374347, 37.239250363467285)
(-80.43475494445623, 37.23967636882978)	(-80.43502180374347, 37.239250363467285)
(-80.43344803349879, 37.24031341350343)	(-80.43357452646444, 37.24025175538544)
(-80.43357452646444, 37.24025175538544)	(-80.43475494445623, 37.23967636882978)
(-80.4329445, 37.2402808)	(-80.43294449999999, 37.240280799999994)
(-80.43294449999999, 37.240280799999994)	(-80.43344803349879, 37.24031341350343)
(-80.43282388793514, 37.24026939722165)	(-80.43294449999999, 37.240280799999994)
(-80.43294449999999, 37.240280799999994)	(-80.4329445, 37.2402808)
(-80.43294449999999, 37.240280799999994)	(-80.4329445, 37.2402808)
(-80.4329445, 37.2402808)	(-80.43244663207749, 37.23954681261272)
(-80.4345132, 37.2382112)	(-80.43409651137888, 37.23853302495967)
(-80.43409651137888, 37.23853302495967)	(-80.43363787260762, 37.2387884975335)
(-80.4354057, 37.2382)	(-80.4356264, 37.2381231)
(-80.4356264, 37.2381231)	(-80.4355573, 37.23800670000001)
(-80.4357167, 37.2389211)	(-80.4356137, 37.2385682)
(-80.4357167, 37.2389211)	(-80.4356823, 37.2391736)
(-80.4356823, 37.2391736)	(-80.4358476, 37.2392145)
(-80.4359618, 37.239247)	(-80.4358476, 37.2392145)
(-80.4356823, 37.2391736)	(-80.4356108, 37.2393458)
(-80.435537, 37.2395419)	(-80.4356108, 37.2393458)
(-80.4356848, 37.2395653)	(-80.435537, 37.2395419)
(-80.4356137, 37.2385682)	(-80.4355503, 37.2385898)
(-80.43206612934155, 37.23848442971961)	(-80.43109900096569, 37.238842829762994)
(-80.43091704314892, 37.23980647900723)	(-80.43109900096569, 37.238842829762994)
(-80.4307427, 37.2401753)	(-80.43091704314892, 37.23980647900723)
(-80.430774, 37.2401905)	(-80.4307427, 37.2401753)
(-80.43126056164644, 37.24043910934042)	(-80.430774, 37.2401905)
(-80.4317787867896, 37.24047747231636)	(-80.43126056164644, 37.24043910934042)
(-80.43096093205257, 37.2398325947141)	(-80.430774, 37.2401905)
(-80.430774, 37.2401905)	(-80.43025826681298, 37.240375680407375)
(-80.429712146888, 37.24047041861485)	(-80.4301708746638, 37.24039084076902)
(-80.4301708746638, 37.24039084076902)	(-80.43025826681298, 37.240375680407375)
(-80.42862023126408, 37.24066175080299)	(-80.429712146888, 37.24047041861485)
(-80.4273312, 37.2409524)	(-80.42862023126408, 37.24066175080299)
(-80.4273156, 37.2408649)	(-80.4273312, 37.2409524)
(-80.4273098, 37.2407927)	(-80.4273156, 37.2408649)
(-80.4273098, 37.2407927)	(-80.4272301, 37.240806)
(-80.4272301, 37.240806)	(-80.4272422, 37.2408795)
(-80.4272422, 37.2408795)	(-80.4271751, 37.2408932)
(-80.4271751, 37.2408932)	(-80.4271971, 37.2410122)
(-80.4265982, 37.2412028)	(-80.4271971, 37.2410122)
(-80.426562, 37.241155)	(-80.4265982, 37.2412028)
(-80.426562, 37.241155)	(-80.42667653543337, 37.24109285364428)
(-80.426562, 37.241155)	(-80.42638945106157, 37.24125016454039)
(-80.4265982, 37.2412028)	(-80.42676145758182, 37.24141850148742)
(-80.4265982, 37.2412028)	(-80.42642092315934, 37.24129726605607)
(-80.4273098, 37.2407927)	(-80.4273342, 37.2407735)
(-80.4273342, 37.2407735)	(-80.427293, 37.2407353)
(-80.427293, 37.2407353)	(-80.42721664196728, 37.24028894284297)
(-80.4271641, 37.2400139)	(-80.42720596160794, 37.24023303407994)
(-80.42720596160794, 37.24023303407994)	(-80.42721664196728, 37.24028894284297)
(-80.4271359, 37.2399081)	(-80.42713590000001, 37.2399081)
(-80.42713590000001, 37.2399081)	(-80.4271641, 37.2400139)
(-80.4271042, 37.2397892)	(-80.4271359, 37.2399081)
(-80.4271359, 37.2399081)	(-80.42713590000001, 37.2399081)
(-80.42699242334402, 37.23943327858711)	(-80.4271042, 37.2397892)
(-80.42685580945673, 37.23899620488656)	(-80.42699242334402, 37.23943327858711)
(-80.42713590000001, 37.2399081)	(-80.4271359, 37.2399081)
(-80.4271359, 37.2399081)	(-80.42768497789895, 37.239805966058675)
(-80.4271359, 37.2399081)	(-80.42713590000001, 37.2399081)
(-80.42713590000001, 37.2399081)	(-80.4270632, 37.239923)
(-80.4269956, 37.2399371)	(-80.4270632, 37.239923)
(-80.42645775307605, 37.24004083308944)	(-80.4269956, 37.2399371)
(-80.42645775307605, 37.24004083308944)	(-80.42593867748778, 37.24021028128156)
(-80.4270632, 37.239923)	(-80.42712785089404, 37.2402248519299)
(-80.42712785089404, 37.2402248519299)	(-80.42715648632041, 37.24035854936513)
(-80.4271641, 37.2400139)	(-80.42723170000001, 37.2399395)
(-80.4307427, 37.2401753)	(-80.43015843439649, 37.24031600817125)
(-80.43015843439649, 37.24031600817125)	(-80.42950751297606, 37.24047276900424)
(-80.42968064979992, 37.2387519374469)	(-80.42969012247349, 37.23924968673821)
(-80.4296697, 37.238254100000006)	(-80.4296697, 37.2382541)
(-80.4296697, 37.2382541)	(-80.42968064979992, 37.2387519374469)
(-80.4294835, 37.2375566)	(-80.4296697, 37.2382541)
(-80.4296697, 37.2382541)	(-80.4296697, 37.238254100000006)
(-80.42969012247349, 37.23924968673821)	(-80.42932233253862, 37.23952265756507)
(-80.42813079999999, 37.2417098)	(-80.4281308, 37.2417098)
(-80.4281308, 37.2417098)	(-80.42864064597822, 37.2416035087475)
(-80.4280529, 37.2417248)	(-80.42813079999999, 37.2417098)
(-80.42813079999999, 37.2417098)	(-80.4281308, 37.2417098)
(-80.4279524, 37.2413838)	(-80.4280529, 37.2417248)
(-80.4280529, 37.2417248)	(-80.4276237, 37.2418181)
(-80.4275561, 37.2416794)	(-80.4276237, 37.2418181)
(-80.4275561, 37.2416794)	(-80.42739763803263, 37.241249967054635)
